object 1 3
103 340
103 50
710 50
object 2 3
103 50
103 340
710 50
object 3 3
400 80
300 800
980 120
object 4 4
298 560
755 510
103 50
710 50
object 5 5
755 510
982 280
298 560
710 50
103 50
object 6 6
755 510
103 340
710 50
982 280
298 560
103 50 
object 7 5
103 50
710 50
298 560
755 510
982 280
object 8 3
300 800
710 620
400 80
object 9 6
302 423
503 521
694 768
10 664
43 1003
694 1023
object 10 4
710 620
980 120
130 210
400 80
object 11 6
302 423
694 768
694 1023
503 521
43 1003
10 664
object 12 3
980 120
710 620
103 500
object 13 6
694 1023 
10 664
503 521
694 768
302 423
43 1003 
object 14 6
321 870
1010 643 
321 127
432 123
567 1003 
970 280 
object 15 3
755 510
103 50
103 340
object 16 6
300 800
980 120
130 210
400 80
103 500
710 620
object 17 4
103 500
130 210
400 80
710 620
object 18 5
503 521
694 768
694 1023
43 1003
10 664
object 19 6
43 1003
302 423
10 664
694 1023
694 768
503 521
object 20 6
980 120
103 500
710 620
130 210
300 800
400 80
object 21 4
432 123
321 127
567 1003
321 870
object 22 3
710 50
103 340
982 280
object 23 5
982 280
103 50
755 510
710 50
103 340
object 24 6
503 521
43 1003
302 423
10 664
694 1023
694 768
object 25 3
321 127
567 1003
970 280
object 26 5
970 280
432 123
1010 643
321 127
321 870
object 27 4
755 510
103 50
982 280
710 50
object 28 6
503 521
302 423
694 1023
10 664
43 1003
694 768
object 29 6
567 1003
970 280
321 870
432 123
1010 643
321 127
object 30 3
103 340
710 50
103 50
object 31 4
503 521
694 1023
10 664
43 1003
object 32 3
694 1023
10 664
503 521
object 33 5
321 870
1010 643
567 1003
970 280
321 127
object 34 6
103 500
400 80
130 210
710 620
980 120
300 800
object 35 5
503 521
43 1003
694 1023
10 664
694 768
object 36 5
103 50
298 560
710 50
103 340
982 280
object 37 4
10 664
694 768
43 1003
694 1023
object 38 4
400 80
300 800
103 500
980 120
object 39 4
321 870
567 1003
321 127
432 123
object 40 4
400 80
103 500
710 620
130 210
object 41 5
970 280
321 870
432 123
321 127
1010 643
object 42 3
321 127
321 870
970 280
object 43 4
567 1003
321 127
1010 643
321 870
object 44 3
710 620
130 210
300 800
object 45 5
10 664
694 1023
503 521
694 768
302 423
object 46 5
980 120
710 620
300 800
103 500
130 210
object 47 5
103 500
300 800
400 80
130 210
710 620
object 48 3
321 870
1010 643
321 127
object 49 3
567 1003
1010 643
321 127
object 50 4
321 870
432 123
970 280
567 1003
